Lower Bound	Approximation	Operations
17	2.9411764705882355	50
19	2.736842105263158	52
18	2.8333333333333335	51
17	2.8823529411764706	49
18	2.8333333333333335	51
18	2.9444444444444446	53
18	2.611111111111111	47
17	2.9411764705882355	50
17	2.823529411764706	48
18	2.9444444444444446	53
19	2.789473684210526	53
17	3.0	51
16	3.0	48
18	2.888888888888889	52
19	2.8421052631578947	54
16	3.0	48
19	3.0526315789473686	58
17	3.1176470588235294	53
17	2.8823529411764706	49
16	2.875	46
18	2.888888888888889	52
19	2.9473684210526314	56
16	2.6875	43
18	2.888888888888889	52
18	2.8333333333333335	51
17	2.8823529411764706	49
17	2.8823529411764706	49
18	2.9444444444444446	53
17	2.9411764705882355	50
18	2.8333333333333335	51
17	2.8823529411764706	49
18	2.7222222222222223	49
18	2.9444444444444446	53
19	2.789473684210526	53
17	2.9411764705882355	50
18	2.8333333333333335	51
17	2.9411764705882355	50
17	2.8823529411764706	49
16	2.875	46
19	2.789473684210526	53
19	2.8947368421052633	55
17	3.0588235294117645	52
17	2.823529411764706	48
18	2.9444444444444446	53
19	3.0	57
17	2.823529411764706	48
19	2.8947368421052633	55
18	2.888888888888889	52
17	2.823529411764706	48
19	2.8947368421052633	55
15	2.8666666666666667	43
17	2.764705882352941	47
17	3.1176470588235294	53
18	2.7222222222222223	49
18	2.9444444444444446	53
17	2.823529411764706	48
18	2.9444444444444446	53
18	2.888888888888889	52
19	2.6315789473684212	50
19	3.1052631578947367	59
18	2.9444444444444446	53
18	2.8333333333333335	51
18	3.0555555555555554	55
19	2.9473684210526314	56
17	2.8823529411764706	49
18	2.6666666666666665	48
18	2.7777777777777777	50
18	3.0	54
18	2.7777777777777777	50
18	2.9444444444444446	53
17	3.0588235294117645	52
16	2.9375	47
16	2.9375	47
16	3.0625	49
17	2.8823529411764706	49
17	2.764705882352941	47
17	2.9411764705882355	50
19	2.9473684210526314	56
19	2.789473684210526	53
19	2.8421052631578947	54
17	2.764705882352941	47
18	2.888888888888889	52
19	2.8947368421052633	55
16	3.0	48
17	2.8823529411764706	49
17	2.8823529411764706	49
16	3.0	48
16	2.9375	47
18	3.0	54
16	2.8125	45
18	3.2222222222222223	58
16	2.875	46
17	2.9411764705882355	50
17	3.0	51
18	2.888888888888889	52
17	2.9411764705882355	50
19	2.9473684210526314	56
17	3.0	51
17	3.1176470588235294	53
16	2.9375	47
16	2.8125	45
15	2.933333333333333	44
18	3.0555555555555554	55
15	2.8666666666666667	43
19	2.8947368421052633	55
15	3.0	45
18	2.8333333333333335	51
16	3.0	48
17	2.9411764705882355	50
16	2.875	46
17	2.823529411764706	48
16	2.8125	45
17	2.8823529411764706	49
17	2.9411764705882355	50
17	2.9411764705882355	50
18	2.888888888888889	52
17	2.9411764705882355	50
19	3.0	57
18	2.888888888888889	52
18	2.9444444444444446	53
17	2.9411764705882355	50
18	2.888888888888889	52
18	3.0555555555555554	55
17	2.823529411764706	48
19	3.0	57
19	2.8947368421052633	55
19	2.8947368421052633	55
17	2.7058823529411766	46
17	2.9411764705882355	50
17	2.8823529411764706	49
17	2.764705882352941	47
17	2.9411764705882355	50
18	3.0	54
19	2.789473684210526	53
16	2.875	46
19	2.6842105263157894	51
16	3.0	48
18	2.9444444444444446	53
18	3.0555555555555554	55
16	2.8125	45
19	2.789473684210526	53
17	3.0	51
15	3.0	45
15	2.8666666666666667	43
18	2.7777777777777777	50
18	2.7777777777777777	50
18	3.0555555555555554	55
16	2.9375	47
18	3.0	54
18	3.0555555555555554	55
16	2.6875	43
18	2.9444444444444446	53
17	2.9411764705882355	50
17	3.0588235294117645	52
19	2.8947368421052633	55
18	2.9444444444444446	53
19	2.8947368421052633	55
18	3.0	54
18	2.7777777777777777	50
17	2.764705882352941	47
19	2.789473684210526	53
16	3.0	48
16	2.8125	45
17	2.823529411764706	48
17	2.8823529411764706	49
17	3.1176470588235294	53
19	3.0526315789473686	58
15	3.0	45
15	2.8	42
17	2.9411764705882355	50
17	2.764705882352941	47
16	3.0	48
18	2.7222222222222223	49
19	2.8947368421052633	55
17	2.764705882352941	47
18	2.9444444444444446	53
17	2.9411764705882355	50
17	2.8823529411764706	49
18	2.8333333333333335	51
18	2.8333333333333335	51
18	3.0555555555555554	55
16	3.0	48
17	3.0	51
18	2.888888888888889	52
18	2.7222222222222223	49
19	2.8421052631578947	54
16	2.9375	47
18	3.111111111111111	56
17	3.0	51
17	2.9411764705882355	50
17	2.823529411764706	48
17	2.823529411764706	48
16	3.0625	49
17	2.823529411764706	48
16	2.6875	43
18	2.9444444444444446	53
17	2.9411764705882355	50
17	2.8823529411764706	49
17	3.0588235294117645	52
18	2.888888888888889	52
17	2.823529411764706	48
19	2.736842105263158	52
17	3.0	51
18	2.8333333333333335	51
18	2.888888888888889	52
16	3.0625	49
18	3.0	54
19	2.9473684210526314	56
18	2.7777777777777777	50
16	2.875	46
18	3.0	54
16	2.875	46
17	2.8823529411764706	49
18	2.888888888888889	52
19	2.8421052631578947	54
18	2.8333333333333335	51
18	2.7777777777777777	50
17	2.8823529411764706	49
18	2.888888888888889	52
17	2.9411764705882355	50
20	2.8	56
19	2.9473684210526314	56
19	3.1052631578947367	59
16	3.0	48
19	2.8421052631578947	54
17	3.0	51
19	2.6842105263157894	51
18	2.9444444444444446	53
16	3.0	48
17	2.7058823529411766	46
19	3.0	57
15	3.066666666666667	46
19	2.8421052631578947	54
18	2.888888888888889	52
19	2.789473684210526	53
18	3.0555555555555554	55
18	2.8333333333333335	51
16	3.125	50
17	2.823529411764706	48
17	3.0588235294117645	52
19	2.8421052631578947	54
18	3.0	54
17	3.0	51
17	2.9411764705882355	50
17	2.9411764705882355	50
18	2.7777777777777777	50
18	2.8333333333333335	51
17	2.9411764705882355	50
18	2.888888888888889	52
18	2.888888888888889	52
17	2.823529411764706	48
16	2.75	44
17	3.0588235294117645	52
19	2.8947368421052633	55
16	2.9375	47
17	3.176470588235294	54
19	2.8947368421052633	55
18	2.888888888888889	52
17	3.0588235294117645	52
17	2.7058823529411766	46
16	3.0625	49
16	2.9375	47
18	2.8333333333333335	51
17	3.0588235294117645	52
18	2.8333333333333335	51
16	2.5625	41
18	2.7222222222222223	49
15	2.8	42
15	2.8	42
18	2.888888888888889	52
16	2.9375	47
19	2.736842105263158	52
17	2.8823529411764706	49
18	2.8333333333333335	51
17	2.6470588235294117	45
17	2.823529411764706	48
18	2.888888888888889	52
17	3.0	51
16	2.9375	47
19	2.8947368421052633	55
19	2.736842105263158	52
17	2.8823529411764706	49
19	2.789473684210526	53
17	2.8823529411764706	49
18	2.9444444444444446	53
18	2.9444444444444446	53
16	3.0625	49
16	3.0625	49
17	2.9411764705882355	50
14	3.0	42
18	2.888888888888889	52
16	2.8125	45
18	2.888888888888889	52
17	3.0	51
19	2.8947368421052633	55
17	2.9411764705882355	50
17	2.764705882352941	47
18	2.888888888888889	52
17	2.823529411764706	48
18	3.0	54
17	2.9411764705882355	50
18	2.8333333333333335	51
18	2.7222222222222223	49
18	2.7222222222222223	49
17	3.1176470588235294	53
18	2.9444444444444446	53
16	2.75	44
16	3.0	48
17	2.764705882352941	47
17	3.0588235294117645	52
17	2.8823529411764706	49
17	3.0588235294117645	52
18	2.888888888888889	52
16	3.0	48
17	2.9411764705882355	50
16	2.875	46
17	3.0	51
18	2.7777777777777777	50
18	2.8333333333333335	51
18	2.888888888888889	52
18	2.9444444444444446	53
19	2.789473684210526	53
16	3.0625	49
19	2.8947368421052633	55
17	3.0	51
18	2.7777777777777777	50
17	2.7058823529411766	46
18	2.8333333333333335	51
17	3.0	51
18	2.8333333333333335	51
19	2.9473684210526314	56
17	2.9411764705882355	50
16	2.9375	47
16	2.875	46
17	2.823529411764706	48
18	3.0	54
20	2.7	54
19	2.8947368421052633	55
18	2.9444444444444446	53
17	2.9411764705882355	50
17	2.8823529411764706	49
18	2.7777777777777777	50
16	2.875	46
18	2.8333333333333335	51
18	2.9444444444444446	53
19	3.0526315789473686	58
17	2.8823529411764706	49
16	2.9375	47
18	2.7222222222222223	49
18	2.888888888888889	52
16	2.9375	47
16	2.9375	47
20	2.75	55
17	2.6470588235294117	45
16	2.9375	47
18	3.111111111111111	56
17	2.823529411764706	48
16	2.9375	47
19	3.0526315789473686	58
17	2.823529411764706	48
18	3.111111111111111	56
16	2.8125	45
18	2.9444444444444446	53
16	3.0625	49
18	2.9444444444444446	53
18	2.7777777777777777	50
18	2.9444444444444446	53
17	2.8823529411764706	49
19	2.8421052631578947	54
18	2.888888888888889	52
18	3.0555555555555554	55
19	2.8421052631578947	54
17	3.0	51
19	2.6842105263157894	51
16	2.8125	45
16	3.0	48
18	2.6666666666666665	48
18	3.0	54
18	2.7777777777777777	50
16	2.9375	47
19	2.8421052631578947	54
17	2.8823529411764706	49
18	2.8333333333333335	51
17	2.9411764705882355	50
17	2.9411764705882355	50
18	2.8333333333333335	51
18	2.888888888888889	52
15	3.066666666666667	46
16	2.9375	47
18	2.8333333333333335	51
18	2.9444444444444446	53
18	3.0555555555555554	55
17	2.9411764705882355	50
18	2.8333333333333335	51
17	2.823529411764706	48
18	2.8333333333333335	51
18	2.9444444444444446	53
18	2.7777777777777777	50
16	2.8125	45
17	2.9411764705882355	50
20	2.85	57
18	2.888888888888889	52
17	2.823529411764706	48
17	2.9411764705882355	50
19	2.9473684210526314	56
Distance	59	40	50.496
Approximation	3.2777777777777777	2.5625	2.889284320482579
59	40	50.496	3.2777777777777777	2.5625	2.889284320482579
